	text	prediction
32	"@USER Entire audience""  Yeah, that's solid reporting.  LOL."""	0
33	The fact that I have to set alarms for my noon class lol #socollege	0
34	@USER they're on Facebook I'm tagging now	0
35	\I was so hot, even girls who liked girls liked me!\ #anonymous #familynights	0
36	Or I don't know what to say	0
37	\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02	0
38	@USER Just a month	0
39	first time. :)	0
40	Lakai Fully Flared gets me so hype	0
41	El negocio de las placas es que las compre el gob al proveedor no que se las cobre al pueblo, ya ganaron	0
42	@USER I was just listening to this song	0
43	@USER @USER My favourite part of this is watching all the conservatives lose their minds as usual. Once again the Democrats are being mean to us boo-hoo. LOL.	1
44	I'm going to have such a lovely bruise from where my dad punched me	0
45	So why did our power go out?\u00bf?\u00bf \ud83d\ude01	0
46	Ugghhhhh	0
47	@USER Such good life advice ;-)	0
48	Bitches know how to twerk but can't cook	1
49	My hobbies include opening up apps on my iPhone for the sole purpose of flicking them to end them	0
50	@USER preferably you buy it after, so I can have a good tastey lunch	0
51	"@USER Barf over the squishy self-righteous source. That's the whole deal with TBC. They're young and dumb history major conservatives"" who've swallowed the SJ BS and like to hand wave. I'll assume without further evidence Prager is lame."""	1
52	@USER Well this tweet seems vaguely familiar. Hmm	0
53	Already back from church! I'm going back to sleep \ud83d\ude34	0
54	Cheating isn't a mistake, it's a choice. You made the choice that you never cared.	0
55	@USER Why add insult to injury? He is 100% devoid of empathy.	1
56	Oh \ud83d\ude11	0
57	So bored someone talk to me\ud83d\ude1b	0
58	currently watching pocahontas on disney junior. blast from tha past!	0
59	I'm still amped for the Super Bowl because I've only watched sc 2 times since the championship weekends.	0
60	I'm pretty sure Chrissy and my mom are out together... Like hanging out one on one....	0
61	@USER @USER fuck you wanna be the next surfer with one hand	1
62	@USER @USER Liberals should just be banished from the United States &amp; dropped in the middle east.	0
63	Lol I called it.	0
64	@USER Amazing how the POPE is afraid of the truth	0
65	I love her tho \ud83d\ude18\ud83d\ude04\ud83d\ude04\ud83d\ude04\ud83d\ude04\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18	0
66	G.I Joe was such a good movie!! Loved it. Besides the fact that Channing Tatum dies within the first 20 minutes \ud83d\udc4e\ud83d\udc4e\ud83d\ude1e\ud83d\ude1e	0
67	My grandmother just liked my picture of beer on Facebook. #ohno	0
68	Good thing I'm not allergic to Carolyn's cats....	0
69	Hamilton fireworks with bub, @USER and @USER	0
70	Piper Chapman and Alex Vause \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d my favorite lesbians	0
71	Antifa Caught Off Guard After Getting Confronted By The Last Person They Ever Wanted To Answer Too URL	0
72	That was when I was my skinniest.. I still love my body though so nbd	0
73	damn straight #RapedByASlothAndItWasAmazing	1
74	Unconditional, despite everything, under any circumstance, no matter what.	0
75	Apple&gt;&gt;&gt;&gt;&gt;&gt;Samsung	0
76	@USER hahaha you're welcome!!\ud83d\udc4d	0
77	@USER Makes sense now!	0
78	@USER @USER Casey not eating it #now what. I took the m&amp;m to work I can't take all the ice cream too.	0
79	@USER stop tweeting from the bathroom.	0
80	@USER he just blocked Paul George!	0
81	@USER He was almost....ALMOST as bad as Obama!	1
82	@USER 20 more days baybay! Ppt.	0
83	@USER Liberals support conflicting viewpoints just to score political points. Power is an ugly business.	1
84	So fucking sleepy	1
85	@USER Something went down she is hiding.	0
86	@USER lmao don't lie	0
87	I may be the black sheep of the family,but some of the white sheep aren't as white as they try to appear.	0
88	My dad is 75% Italian .. \ud83d\ude33	0
89	@USER You must be on your 2nd bottle of vodka if you are gonna say the reps are radicalized! See antifa or blm or feminazis or abolish ICE or msm or anyone else doing your dirty work!	1
90	There won't be another one like you, but there will be someone who will give me what I deserve.	0
91	#hausla hdllo	0
92	This kitchen is a war zone	0
93	@USER si el lado bueno es el pago al final de la semana	0
94	Sloooooooot	1
95	@USER well then that's definitely better than yesterday! Haha	0
96	I hope you fall inside a hole and die :) &lt;3	0
97	@USER lol pullup	0
98	Yoloswag is at critical levels... Halp	0
99	#BeforeIDieIWantTo find out who my true friends are and always will be.	0
100	@USER This kind of meme just drives me further away from the Conservatives. My mother and father are rolling in their proverbial...you know. They would be disappointed in the lowness of it all.	0
101	@USER  A beast? She is certainly not attracted nor amused to do it with one. 0/10	0
102	Christmas Vacation is hands down the best Christmas movie	0
103	She was just with another dude 2 days ago bro now she's fucking you how's it make you feel that your girls a #sluuutttt	1
104	TGIF!!!!!!!!!!!\ud83d\ude03 pay day too!!!!! Woot woot!!!!!!!!\ud83d\ude0a\ud83c\udf83\ud83d\udc7b	0
105	@USER Can we all agree to pray for big dumb mike to keel over of a heart attack. he looks ripe.	1
106	@USER yeah for sure homie	0
107	@USER you find out who your friends are.	0
108	...when Liberals/Democrats punish &amp; slander people for simply being honest and truthful? That's when you know its time to #WalkAway and vote Republican. URL	0
109	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER pretty much spot on there	0
110	@USER btw... It's been too long since I've seen you and I'm working in your hood now!	0
111	@USER He’s going to end up having a massive heart attack and never find out how the election went.	0
112	@USER @USER YOOOOO I didn't know you had a son. That's awesome. Look how focused he is. 😃	0
113	@USER yooooo, I said that to myself earlier today! \ud83d\ude02\ud83d\ude2d	0
114	Everything has a story and a price #pawnstars	0
115	I got some sun this weekend \ud83d\ude0e\u2600	0
116	does anyone actually know how to tie a bow-tie though? let's be honest here.	0
117	WHO WANTS TO GO SLEDDING\n \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d	0
118	@USER Eric Holder should be in PRISON !!	0
119	@USER HAHHAAHH #truth but I like the sand	0
120	Or smile. But that really isn't new.	0
121	@USER haha yes thank you!	0
122	@USER listen to some of his other stuff	0
123	@USER @USER there's fish poop in your shower???	0
124	@USER says you lolol.	1
125	What to do with the Seguin jersey lol @USER	0
126	@USER you know it! Problem is getting the shit ton of $$$ together to even get to Australia	1
127	We trashy	1
128	They fuck wit my baby sis too much they just gave her a fuckin lemon \ue108	1
129	Just small town girl living in a lonely world she took the midnight train going anywhere, just a city boy born and raised in south Detroit	0
130	@USER can I get cookies for being your best friend \ud83d\ude02	0
131	@USER he needs shielding from his nana too.	0
132	THIS BITCHES CAT JUST THREW UP \ud83d\ude37	1
133	@USER luls. You do enjoy making me squirm. -.-	0
134	Who is youuu?	0
135	@USER Andrea Mitchell. Another political hack embedded in the news media. Listen to the tone of that interview.  She is looking for a gotcha moment instead of commending the guy for the work that he is doing. At every turn he shoots her down and it kills her.	1
136	@USER well done #goodjobbro! #OLBBB	0
137	Mary's giving away my secrets.	0
138	Rugrats fuck with me \ud83d\ude01	1
139	\u201c@Jenaya_yeahhhhh: \u201c@baby_buchman20: \u201c@_NateTheGreat8: 10.1 k\u201d *10.9\u201d *2,485 #Balla\u201d 10k club yo	0
140	@USER no	0
141	I think Kathy's mad at me for finishing the brownie	0
142	catfish	0
143	@USER I’m finna say fuck it and get a crispy ass jogging suit😂😂	1
144	@USER season 1 episode one1?	0
145	Hate to leave my MR....but gotta gooo...:-) #VD#	0
146	@USER fb	0
147	@USER dude same	1
148	Can it be the weekend	0
149	@USER Did you hear that @USER had a game taken away from her because she called an official a theif after he took a point and he only took a game away from her because she is a woman and he'd never have done that to a man? Would love to hear your thoughts on this	0
150	@USER watch it on YouTube	0
151	@USER I wonder who this is about......oh wait	0
152	are you a beaver cause damn.. #WorstPickUpLines	1
153	@USER @USER speechless....	0
154	I think I'm growing up. #WhatIsHappening	0
155	@USER Can I take you to lunch when you are in Germany?! #beauty	0
156	@USER @USER Ware looks great this season! I think they'll do just fine. ;-)	0
157	Finally home	0
158	@USER where do you live ?!?	0
159	bout to pull one of @USER sayings out	0
160	hopefully ill be able to sleeeeep tonight!	0
161	"@USER Please don't start with what he is concerned about. She wants to go out, if he has something planned or an idea of what to do.   Movie or not, it's scary.""  Avery felt like there was something she wanted him to know, but she couldn't remember what off the top of her head."""	0
162	@USER we're gonna have two classes tho :/	0
163	@USER \ud83d\ude02 I miss you janeeeee	0
164	@USER @USER @USER We all know death threat are a Resist/Antifa tactic.	0
165	@USER i thought we were doing lunch?	0
166	I need to work somewhere where I don't like anything	0
167	It's really good to hear your voice saying my name, it sounds so sweet coming from the lips of angel, hearing those words it makes me weak\ud83c\udfb6	0
168	Shanae is the most obnoxious one when drunk. #ShutUpBoutTheTurnUp	1
169	I want one of those in my room	0
170	#bipolar	0
171	There is a 100% chance that I will be laughing during this entire car ride today	0
172	The things coaches think help makes me wonder about them	0
173	@USER hahaha I love you todd:)	0
174	Don't work for a monkey butt Don't work for a monkey butt Don't work for a monkey butt! Lol #reba	1
175	@USER Did all your dreams come true? Unicorns? Rainbows? PTVADTR and any other acronyms I forgot? Bc I'm not seeing post spam ;)	0
176	Wow WTF \ud83d\ude21	0
177	@USER @USER @USER @USER @USER @USER I will admit she hasn’t charted and I blame that on the fact that she is an artist she does things her own way and sometimes not following the trends or staying in a mold will cause you to fall out of the “relevant spotlight”	0
178	@USER y con sus fotos en FB besando el escudo de su equipo jajaj	0
179	It's the simple things that makes the biggest difference ...	0
180	Believe it or not getting paid to tweet and walk	0
181	Great day gotta love the 4th! #USA	0
182	Pandora oh how i missed you ((:	0
183	@USER yeah you pretty much haven't lived until you've had them	0
184	@USER I get out at 8 try not to be too blacked out by then \ud83d\ude0a!!	0
185	Sooo my sex life is non-existent. Favorites for pity	0
186	Trust a few, fuck the rest.	1
187	It's amazing what two cups of coffee and shit ton of sugar will do for your day. \ud83d\ude01\ud83d\ude2c	1
188	@USER AND Bad Lip Reading of the NFL is back. So, you know, winning.	0
189	@USER I think gun control and progressive tax rates are unjust. Can i ignore them?	0
190	ouch my life	0
191	tupacccc can get it \ud83d\ude4c\ud83d\ude0f	0
192	what's good for tonight	0
193	Ben you're making me cry, stop	0
194	@USER you are a traitor URL	1
195	#workjams @USER because she is #everything #buyit URL	0
196	So annoying when people are late \ud83d\ude21	0
197	"@USER @USER @USER @USER He is mocking self-professed populists who claim to speak for the people"" when those who stand up for ""norms"" and ""rights"" are labelled latte drinking elitists"""	0
198	Heads for Dave's house, tails for Mons Venus	0
199	@USER Yet more evidence that the @USER have turned ‘The Party of Business’ into ‘The Party of Fuck Business’. Bizarre.	1
200	@USER valley girls are no good or fun !!	1
201	@USER @USER @USER maybe he is for brutally beating a woman. apparently spending a couple hundred dollars makes up for beatin the piss out of someone	1
202	You will never see me more pissed off.	1
203	I have the best mom ever she told me to go take a nap because I look tired and the eagles are on tonight! #loveit \ud83c\udfc8\ud83c\udfc8 #FlyEaglesFly	0
204	@USER eh come hang out with me so we can go explore and take pictures and stuff	0
205	Shoutout to @USER for dancing in a speedo during free throws. Haha	0
206	@USER lhh , im sorry boo !!! But you going to the meet tomorrow .	0
207	Another episode... really.... #GOTOBED	0
208	Did the redwings win	0
209	You're perfect in my eyes	0
210	Note to self: don't anticipate a school cancelation and stay up till 3 in the morning.	0
211	Your like WHAT 3 times meee ? Hahahahahha :D	0
212	@USER Brian so sorry for your loss But she is probably with Grandpa looking down on all of you with a huge smile So sorry but God wanted her to	0
213	@USER so we're waiting to get back our pictures with Santa. Be a little late	0
214	2 weeks feels like 2 months, can't wait to get back to @USER	0
215	#Tories #Labour #GE2017 #Conservatives Conservatives URL knew Jeremy_Hunt had such language skills 👌🇬🇧🇯🇵  You'll want your sound on 🔊 URL	0
216	I hate late night gym sessions after a long day, but its gotta get done \ud83d\ude29	0
217	It Aint Yaa Spit Game Its Yaa Dick Game ;)	1
218	Teeeen wolf y'all !!!	0
219	@USER thats perfect. Id rather live somewhere with all old people and thrift stores and antique shops	0
220	Today is gonna suck #sotierd	1
221	I have so much I wanna say but ill keep it to myself.	0
222	@USER @USER @USER @USER Actually per the rules it doesn’t matter if she even saw the coaches attempts to coach her - she is to receive a warning based on the coaches actions.  It would have stopped at just a warning but as you saw she couldn’t let it go.	0
223	ohhhhh shut up	1
224	@USER Well that's why BB wins Super it's and you are an overhyped media mouth piece imbecild	1
225	Would anyone like to accompany me on some errands?	0
226	@USER THINK PROBELY I THINK SHE IS GETTING SOMETHING OUT OF IT ..MAYBE MONEY	0
227	So sleepy why am I so tired ?!	0
228	@USER @USER @USER @USER She is not in this photo. It has not been verified that they knew each other. This story is about the weirdest I’ve ever heard and The Texas Rangers better do right by Bo.	0
229	Just schooled trivia @USER @USER @USER	0
230	Maybe there is a God after all. Just got a job :)	0
231	@USER taking any R4 matchups? Nice job today. Hope all is going well with your daughter. Glad to see u back on more	0
232	Just another #manicmonday	0
233	Don't drop that thu thu.	0
234	Sure	0
235	I'm bouta fuckin snap like who TF told whoever to pick up my headphones	1
236	56 million defenseless people were rounded up and exterminated in the 20th Century because  of gun control.	1
237	@USER @USER the flag has already been planted!	0
238	@USER I wonder where it is	0
239	Might have to watch big daddy on netflix	0
240	@USER leaves again today. At least this time it's just for the weekend! Good luck, babe. Go kill shit \u263a\u2764\ud83d\udeb2\ud83c\udfc6	1
241	Your Style Is Generic' Mines Authincmade\ud83d\ude0f	0
242	@USER Is that all you've got? NDP and liberals will grasp at anything to get attention. Sure am enjoying watching the meltdown. @USER @USER	0
243	#Mueller #DOJ #FBI #CIA #LawEnforcement #PoliceState   Proof all law enforcement are paramilitary goons for the communist leftwing #DNC &amp; will do anything to solidify their grip on power.   Conservatives should seriously question their support of police.  URL	0
244	Life is just killing me right now.	0
245	Theres always something pleasant about waking up early	0
246	@USER haha where are you??	0
247	I hate when my tanning package expires and they don't even think to give me a heads up.	0
248	@USER I love how Casey has a nickname for each player on the team	0
249	I'll be the one you won't forget.	0
250	My mom went a little overboard on all the alcohol she bought..	0
251	I couldn't imagine being such a piece of shit.	1
252	Smells good in the kitchen!	0
253	@USER Nah about what?	0
254	#qanda look at who Twitter and Facebook are  currently banning - all conservatives.	0
255	I'm so dramatic hahaha I love it	0
256	So I loved tthe Yanks last year. But I'm going towards the soxs again.	0
257	Nothing like taking a night for yourself and reading your favorite book \ud83d\udcd6 #SisterSouljah	0
258	Joel Anthony sucks lol	1
259	"@USER Does she expect a mob in pussy hats shouting We believe her"" in unison, based on a general distrust of conservatives?"""	1
260	@USER I'm so jealous..	0
261	@USER aw you love me	0
262	Actually antifa makes u want to kick them right in the teeth URL	1
263	@USER okay	0
264	When we do talk it's like there hasn't been a day that past we talked. I love her!	0
265	@USER Us Noles love your passion. Too many espn guys try to stay neutral. Easier for guys like Jesse Palmer to forget going to UF.	0
266	The fact I don't have to wake up till at least 3 tomorrow &gt;&gt;	0
267	@USER boy you sleeeeeeepppp 😭😭 ass be ret on Pansy or Bailey tonight 😂😂😌	1
268	Come on weekend get here \ud83d\ude04\ud83c\udfc8	0
269	@USER I'm so extremely happy for you bud! She's gorgeous! Good job !	0
270	@USER So we should believe this from 40 years ago when the man went to an all boys school. This was a way to try and stop the confirmation and blew up in @USER face. She is a corrupt pos!!!	1
271	Roads are nasty in spots. Be careful peeps.	0
272	Cause it's like how can someone ask so many questions?! Lol	0
273	@USER how? how is this in any way shape or form...	0
274	I drive your car like an old lady cause I'm scared to crash it... #DumbAss	1
275	_ Nd iiL Hit Uhp Monika Lol _	0
276	@USER @USER @USER oh ya I get it... Jax yells Spark plugs! Spark plugs! Trav yells Shut up! It's a diesel #backintheday	0
277	Thee fact that, that shit want funny.	1
278	\@NoHo_ItsJLo: My back is aching from.....	0
279	@USER As a member of antifa? ;)	0
280	Her mouth is like my house so I guess you can say I\u2019m coming home.	0
281	@USER Good thing I watch him online.	0
282	@USER stop being so negative &amp; hard on yourself! Smile, you look great. \ud83d\ude0a	0
283	@USER dev I downloaded it and it doesn't work #yousuck	0
284	Tan guys with dark hair and blue eyes \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\udca7\ud83d\udca6\ud83c\udf0a	0
285	Seriously going to see Ke$ha again next year. Who's with me?	0
286	@USER @USER @USER Please stop calling the losers “Elite”	1
287	I love being ignored\ud83d\udc4c	0
288	swimming with one hot man \ud83d\ude1c\ud83d\ude31\ud83d\ude0d\ud83c\udfca	0
289	@USER yeah im not technically aloud... But whatever	0
290	Like seriously lol wtf	1
291	@USER @USER How much you are paying for patrol... ? Do you think it's because of naheru or Zina... Indira... ?	0
292	Ending the night in tears. #YouWin	0
293	nugcourage	0
294	@USER eat a teaspoon of mustard or drink a coke either one works	0
295	@USER are you in Brooklyn tonight?	0
296	@USER @USER You are right free speech is one thing that makes this country great. Another is the very flag that is a symbol that gives us that right.	0
297	I done shed so many tears...	0
298	@USER I wasn't subtweetin you until you subtweeted me , I tweeted about Florida not you	0
299	If someone brings me a caramel iced coffee from Dunkin I will marry them. SERIOUSLY.!	0
300	When my professor tells me I can skip class and to go get wasted &gt;&gt;&gt;&gt; \ud83d\ude0d	0
301	Can't wait till tonight! Turnt up with the best friend!	0
302	@USER Merry. Christmas!! Luv Zj	0
303	Campus pizza is open till 1am on thurs and fri now. Sickkkkkk	0
304	I'm sobbing	0
305	So tired.	0
306	@USER Brilliant journalistic commentary here	0
307	@USER @USER FASCISTS OF THE FUTURE WILL CALL THEMSELVES ANTI FASCIST.  ANTIFA COMES TO MIND.	1
308	I haven't ate anything all day	0
309	@USER Uhhh no.  Sadam gassed the shit out of the Kurds (sp?)	1
310	@USER @USER precisely!	0
311	@USER you won't!! you only get it if it was as bad as mine!	0
312	...it will be hard to believe any female accusers...ever again...especially liberals who lie for personal and political gain... URL	0
313	The police officer said I was a very polite person and that's the reason I didn't get a ticket. It pays to be nice	0
314	@USER ard and where you going be at then ?	0
315	@USER @USER @USER He will blame it on the fact that he is Hispanic of course.	0
316	People piss me off SO FUCKING MUCH.	1
317	@USER @USER Who ever supported this guy? You know they can never be trusted.	0
318	"@USER Being the good Christian that he is, he asked God to spare his properties. Virginia beach was only slightly impacted. You know the 700 club prayer, God spare me and mine, to hell with everybody else""."""	0
319	It makes my day when I see other people wearing purity rings!	0
320	@USER hahaha \do you see her outfit????\	0
321	Sometimes I wonder what the world would be like with out the United States?	0
322	Baltimore 14 New England 13- One of the tightest games I have watched lately- Joe Flacco may be the deciding factor here-End of 3rd	0
323	@USER appreciate it brotha	0
324	So damn tired	1
325	@USER U nasty bitch	1
326	Watching My So Called Life.I WAS Angela Chase &amp; I had my own Jorden Cattalano! His name was Anthony Bxxb.I cant say his last name.He was HOT	0
327	@USER thanks for making me seem like a giant weirdo through twitter	1
328	@USER @USER @USER Kim doe lmao	0
329	\u201c@carcomerford: My biggest pet peeve is opening the door for someone and them not saying thank you \ud83d\ude21\u201d	0
330	"@USER @USER @USER the Free press""??? You mean mainstream corporate media??? You ought to look into what you are speaking of. I come from a line of journalists and printers that were and are an integral part of truly free press. WE are not shutting down speech, the LEFT is. Antifa. @USER"	0
331	#nowwatching The Break-Up #love	0
332	@USER Bono mocks nationalists during his concert in the last free part of Paris.	0
333	@USER A disgrace	1
334	Gahhh so much good news!!!	0
335	@USER lucky duck	0
336	@USER Bummer that you are excluding A-List members from the #AStarIsBorn special events. I guess you guys are already testing shady Moviepass tactics on us. 😒	0
337	@USER the answer is yes	0
338	@USER goodday \ue011	0
339	I'd say it was a pretty successful trip #Athens	0
340	NO.	0
341	@USER @USER @USER @USER // A todas Anny. Un beso grande y cien m\u00e1s para un lindo amanecer en el n de Dios LQM.	0
342	Aaaaand my brother threw up his entire xmas dinner on the drive home.	0
343	@USER @USER @USER Agree Liberals will not have a majority but you will see People's Party of Canada in the running your little c party will be lower in the ranks the the NDP.	0
344	@USER #OWNED	0
345	@USER Do we get to choose which women go first?	0
346	"@USER Ok - you hear about the superman"" thing all the time. And you are certainly busy, but, this could be an EXCELLENT opportunity to step in, in the movies for him as Cavill is steping down!:  URL"	0
347	\If a fellow isn't thankful for what he's got, he isn't likely to be thankful for what he's going to get.\ Frank A. Clark #thankful	0
348	@USER I did! Lol. I switched back!	0
349	Watched you fight today @USER you are something special!!!	0
350	@USER I borrowed it from Koltan last year, I fell in love \ud83d\ude0d	0
351	Who wants picked up	0
352	I can't believe my brother is 20. Shit is cray	1
353	Stay the fuck out of my life. Bitches.	1
354	@USER Antifa members have to be their #1 clients.	0
355	Playing basketball in cowboy boots is not the most ideal thing	0
356	@USER And they have some of the strictest gun control laws in the country? As the saying goes if you ban guns only criminals will have them! Seems to be proving here go get them Chicago.	0
357	S\u00f3lo quiero contigo por las calles caminar &lt;3	0
358	Gettin caught, I'm definitely not about that life. #Shit	1
359	@USER @USER He's a crook #TrumpTime URL	1
360	@USER @USER @USER @USER @USER CREEPY	0
361	We Are The Millers \ud83d\udc6a	0
362	@USER omg.....	0
363	@USER do you guys have an email that I could contact you guys at?	0
364	@USER just crossed the border. #gameday #whatbarareyougoingto	0
365	"@USER @USER Chequers delivers Brexit (changes the relationship with the EU). It does not deliver leave the European Union"" (referendum question.) I think we should stop using the word Brexit to mean leave, and actually say ""leave the EU"". ""Brexit"" meaning willfully mutated by remainers."""	0
366	@USER Sure thing😏	0
367	Candy + studying = awesome #thanksmom	0
368	@USER Maybe we need more gun control after all - liberals should not be allowed to possess them!	0
369	@USER Yeah because godless liberals hate truth an facts	1
370	@USER @USER @USER @USER @USER also trump IS a fascist- LITERALLY.  the central govt thing for anyone always seems to depend upon who's running it. magas are fine with fascist trump and liberals were fine with obama. my ideas about good government are a bit different. of course i did admit to being a quaker.	1
371	@USER vegetable soup and saltine crackers	0
372	@USER @USER well what do you expect... triston and I dominate lol	0
373	@USER so is it they didn't pay you for the hours or you just didn't get paid at all?	0
374	Well i am ready for a trip to Alaska. Anyone want to tag along?	0
375	@USER ohmygosh. I'm missing it\ud83d\ude33 #mylifeisover	0
376	I can't read the top line of my tweets hahah	0
377	Eating Mommas spaghetti tonight with @USER	0
378	brain so good, coulda swore you went to college	0
379	@USER amor te extra\u00f1o mamita no se xq si todo el tiempo estas en mi mente tatita	0
380	@USER no cell service. May as well be mars. Plus, if you\u2019re djing, you don\u2019t want to hope something downloads before the cue hits	0
381	@USER you did the exact some thing	0
382	@USER looks so fierce.	0
383	Yo gucci twitter back up. Nigga gotta be hacked.	1
384	"@USER The comments below, defending Drug Ford's blatant abuse of power is completely laughable.  But, but the Liberals.  Bias, BIAS I tell you!!!  Must be only the NDP rich downtown area that was polled"".  Ho-man... thanks guys... I needed a good laugh! 😂😂😂"""	1
385	@USER beg to differ	0
386	I'm shocked that this gun addict is also an alleged pervert! URL   #NRA #2A #MolonLabe #gunsense #momsdemand #MAGA #WednesdayWisdom	1
387	I love drakes new song Hold on were going home. Omg love \u2764	0
388	Walked outside having no idea it was snowing	0
389	I wish someone would give me my own reality show in my journey to find love, a boyfriend...hell maybe even a one night stand.	0
390	Correction, not fast enough.\u270b	0
391	Trop de niveau dans le LT de Tom #idole	0
392	We fading away	0
393	Should have some fans tn \ud83d\ude0f	0
394	Pean tho lol	0
395	@USER you never run faster when you're afraid #getawayfromthecopsspeed	0
396	Emotional watching Miley's 21 Candles	0
397	I'm so happy to be a Trojan! #TrojanPride	0
398	@USER like the bae search is so difficult right now.	0
399	@USER @USER Yes it does. She should be made to resign.  #MAGA	0
400	@USER Boycott the NFL	0
401	Why is there not a Shark Emoji?!?\nThere should be one!! #SharkAfterDark	0
402	But now it's beer time at the pine	0
403	I'm a bitch, I'm a lover.	1
404	@USER am anxious to see what you have in store for me. Regretably I am unable to receive your gift in person. Please send by post\n\nK	0
405	@USER @USER fave show on tv #TAR	0
406	@USER You are wise.	0
407	Girls are funny. They can be soo desperate at times. I guess I win! :)	0
408	Fuck I should if gone to the fair!	1
409	you're mine, long as you know who you belong to, \ud83d\udc95	0
410	He's getting me mad \ue403\ue403	1
411	Are you &amp; Manziel brothers or sonething because you are caring a bit to much! Lol	0
412	You're a	0
413	I've told people for to long that I wish I could play hockey, so I went and got some skates today. So happy.	0
414	Everybody fallin asleep but me and @USER doin it live #yadig	0
415	849- I miss going to your house and having a hell of a time we need to all do it again soon!	0
416	The day I don't wanna go our everyone decides to hmu with plans... Cool	0
417	So glad I'm leave school early tomorrow. \ud83d\udc4c	0
418	@USER so sad at you	0
419	So. Did it snow?	0
420	\@reIatable: Yes, I made a mistake. No, you don't need to keep bringing it up.\but thanks cause I remember u havent made any mistakes	0
421	@USER Trump will never be a free range chicken again  He is a danger to the world while under constant surveillance and scrutiny   Imagine him gallivanting around the world with the little scraps of actual intel he does know completely unfettered  Just don't see it happening	1
422	i just want too sleep in for one day. thats all i want, but fuck what i want, right?	1
423	@USER cool, while you're at it, bring me Starbucks	0
424	League champs round 4. Congratulations @USER keep em commin'!	0
425	I'm gonna throw up	1
426	@USER This is so fake he’s unable to feel true feelings he even lies when he says anything and she is just as stupid in standing by a man who clearly doesn’t respect the unity of marriage while he was with her and pay these women off STAND UP DIVORCE LIKE HIS OTHER WIFES DID HES A PIG	1
427	He better get his fucking act together because I'm not sitting home all day like I do every fucking weekend	1
428	Just ready for this new year ready to get that new whip	0
429	@USER Bono is clearly a racist	1
430	I love hearing rumors because I find out so much stuff about myself I didn't even know.	0
431	@USER your quitting?!	0
432	I look like a bum	1
433	@USER I wasn't going to anyway haha	0
434	Omg my Grammy lags	0
